序号,类别,标题,发布机构,文号,发布日期,来源类型,来源URL,文件名,状态,字符数,备注
1,基本法律（最高效力层级）,中华人民共和国社会保险法,全国人民代表大会常务委员会,主席令第三十五号（2010通过/2018修正）,Dec-18,local,http://www.npc.gov.cn/zgrdw/npc/xinwen/2019-01/07/content_2070267.htm,基本法律（最高效力层级）/中华人民共和国社会保险法.txt,OK,11043,复用仓库已有逐字文本，补标准头部
2,基本法律（最高效力层级）,全国人民代表大会常务委员会关于实施渐进式延迟法定退休年龄的决定,全国人民代表大会常务委员会,2024年9月13日十四届全国人大常委会第十一次会议通过,Sep-24,html,http://www.npc.gov.cn/npc/c2/kgfb/202409/t20240913_439534.html,基本法律（最高效力层级）/全国人民代表大会常务委员会关于实施渐进式延迟法定退休年龄的决定.txt,OK,1822,
3,养老保险,国务院关于完善企业职工基本养老保险制度的决定,国务院,国发〔2005〕38号,Dec-05,local,https://www.gov.cn/gongbao/content/2006/content_169950.htm,养老保险/国务院关于完善企业职工基本养老保险制度的决定.txt,OK,3245,复用仓库已有逐字文本，补标准头部
4,养老保险,国务院关于建立统一的城乡居民基本养老保险制度的意见,国务院,国发〔2014〕8号,Feb-14,html,https://www.gov.cn/gongbao/content/2014/content_2629931.htm,养老保险/国务院关于建立统一的城乡居民基本养老保险制度的意见.txt,OK,3999,
5,医疗保险,中共中央 国务院关于深化医疗保障制度改革的意见,中共中央、国务院,,Feb-20,html,https://www.gov.cn/zhengce/2020-03/05/content_5487407.htm,医疗保险/中共中央国务院关于深化医疗保障制度改革的意见.txt,OK,6089,
6,医疗保险,国务院关于整合城乡居民基本医疗保险制度的意见,国务院,国发〔2016〕3号,Jan-16,html,https://www.nhsa.gov.cn/art/2016/1/3/art_104_6426.html,医疗保险/国务院关于整合城乡居民基本医疗保险制度的意见.txt,OK,3914,
7,工伤保险,工伤保险条例,国务院,国务院令第375号公布·第586号修订,Dec-10,html,https://www.gov.cn/gongbao/content/2011/content_1778064.htm,工伤保险/工伤保险条例.txt,OK,13499,
8,失业保险,失业保险条例,国务院,国务院令第258号,Jan-99,local,https://rsj.wuhan.gov.cn/zwgk_17/zc/qtzdgkwj/zcfg/202001/t20200108_675715.html,失业保险/失业保险条例.txt,OK,3464,复用仓库已有逐字文本，补标准头部
9,生育保险,国务院办公厅关于全面推进生育保险和职工基本医疗保险合并实施的意见,国务院办公厅,国办发〔2019〕10号,Mar-19,html,https://www.beijing.gov.cn/zhengce/gwywj/201905/t20190522_61908.html,生育保险/国务院办公厅关于全面推进生育保险和职工基本医疗保险合并实施的意见.txt,OK,2044,
10,住房公积金,住房公积金管理条例,国务院,国务院令第262号公布·第350号·第710号修订,Mar-19,html,https://www.gov.cn/gongbao/content/2019/content_5468861.htm,住房公积金/住房公积金管理条例.txt,OK,5427,
11,综合性文件,社会保险经办条例,国务院,国务院令第765号,Aug-23,html,https://www.gov.cn/gongbao/2023/issue_10706/202309/content_6904867.html,综合性文件/社会保险经办条例.txt,OK,6724,
